message_type	message	enc_class	enc_member	offset	path	target_kind	target_class	target_method	target_param	target_index	target_path	infos
DEREFERENCE_NULLABLE	dereferenced expression serverConfig is @Nullable	com.netflix.eureka.ServerRequestAuthFilter	logAuth(javax.servlet.ServletRequest)	1859	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/ServerRequestAuthFilter.java	null	null	null	null	null	null	serverConfig---field---com.netflix.eureka.ServerRequestAuthFilter---true---serverConfig---1859
DEREFERENCE_NULLABLE	dereferenced expression taskExecutor is @Nullable	com.netflix.eureka.cluster.PeerEurekaNodes	shutdown()	3701	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/cluster/PeerEurekaNodes.java	null	null	null	null	null	null	taskExecutor---field---com.netflix.eureka.cluster.PeerEurekaNodes---true---taskExecutor---3701
METHOD_NO_INIT	initializer method does not guarantee @NonNull field peerEurekaNodes (line 119) is initialized along all control-flow paths (remember to check for exceptions or early returns).	com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl	PeerAwareInstanceRegistryImpl(com.netflix.eureka.EurekaServerConfig,com.netflix.discovery.EurekaClientConfig,com.netflix.eureka.resources.ServerCodecs,com.netflix.discovery.EurekaClient)	4892	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/PeerAwareInstanceRegistryImpl.java	null	null	null	null	null	null
PASS_NULLABLE	passing @Nullable parameter 'info' where @NonNull is required	com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl	replicateInstanceActionsToPeers(com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl.Action,java.lang.String,java.lang.String,com.netflix.appinfo.InstanceInfo,com.netflix.appinfo.InstanceInfo.InstanceStatus,com.netflix.eureka.cluster.PeerEurekaNode)	25497	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/PeerAwareInstanceRegistryImpl.java	PARAMETER	com.netflix.eureka.cluster.PeerEurekaNode	register(com.netflix.appinfo.InstanceInfo)	info	0	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/cluster/PeerEurekaNode.java
METHOD_NO_INIT	initializer method does not guarantee @NonNull field responseCache (line 111) is initialized along all control-flow paths (remember to check for exceptions or early returns).	com.netflix.eureka.registry.AbstractInstanceRegistry	AbstractInstanceRegistry(com.netflix.eureka.EurekaServerConfig,com.netflix.discovery.EurekaClientConfig,com.netflix.eureka.resources.ServerCodecs)	4724	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression overriddenInstanceStatus is @Nullable	com.netflix.eureka.registry.AbstractInstanceRegistry	renew(java.lang.String,java.lang.String,boolean)	17041	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java	null	null	null	null	null	null	overriddenInstanceStatus---local_variable---com.netflix.eureka.registry.AbstractInstanceRegistry---true---overriddenInstanceStatus---17041
DEREFERENCE_NULLABLE	enhanced-for expression remoteRegions is @Nullable	com.netflix.eureka.registry.AbstractInstanceRegistry	getApplicationsFromMultipleRegions(java.lang.String[])	33269	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java	null	null	null	null	null	null	remoteRegions---parameter---com.netflix.eureka.registry.AbstractInstanceRegistry---true---remoteRegions---33296
DEREFERENCE_NULLABLE	dereferenced expression applications is @Nullable	com.netflix.eureka.registry.AbstractInstanceRegistry	getApplicationDeltas()	39608	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java	null	null	null	null	null	null	applications---local_variable---com.netflix.eureka.registry.AbstractInstanceRegistry---true---applications---39608
RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	com.netflix.eureka.registry.AbstractInstanceRegistry	getInstanceByAppAndId(java.lang.String,java.lang.String,boolean)	45906	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java	METHOD	com.netflix.eureka.registry.AbstractInstanceRegistry	getInstanceByAppAndId(java.lang.String,java.lang.String,boolean)	null	null	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java
METHOD_NO_INIT	initializer method does not guarantee @NonNull fields appName (line 103), id (line 104), lastDirtyTimestamp (line 105), instanceInfo (line 108), action (line 109) are initialized along all control-flow paths (remember to check for exceptions or early returns).	com.netflix.eureka.cluster.protocol.ReplicationInstance$ReplicationInstanceBuilder	ReplicationInstanceBuilder()	3695	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/cluster/protocol/ReplicationInstance.java	null	null	null	null	null	null
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	com.netflix.eureka.registry.RemoteRegionRegistry	RemoteRegionRegistry(com.netflix.eureka.EurekaServerConfig,com.netflix.discovery.EurekaClientConfig,com.netflix.eureka.resources.ServerCodecs,java.lang.String,java.net.URL)	7597	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/RemoteRegionRegistry.java	FIELD	com.netflix.eureka.registry.RemoteRegionRegistry	null	eurekaHttpClient	null	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/RemoteRegionRegistry.java
RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	com.netflix.eureka.registry.RemoteRegionRegistry	getApplications()	19813	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/RemoteRegionRegistry.java	METHOD	com.netflix.eureka.registry.RemoteRegionRegistry	getApplications()	null	null	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/RemoteRegionRegistry.java
DEREFERENCE_NULLABLE	dereferenced expression this.applications.get() is @Nullable	com.netflix.eureka.registry.RemoteRegionRegistry	getApplication(java.lang.String)	20041	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/RemoteRegionRegistry.java	null	null	null	null	null	null	this.applications.get()---method---java.util.concurrent.atomic.AtomicReference---false---get()---20041
DEREFERENCE_NULLABLE	dereferenced expression applications.get() is @Nullable	com.netflix.eureka.registry.RemoteRegionRegistry	getInstancesById(java.lang.String)	20254	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/RemoteRegionRegistry.java	null	null	null	null	null	null	applications.get()---method---java.util.concurrent.atomic.AtomicReference---false---get()---20254
DEREFERENCE_NULLABLE	dereferenced expression existingLease is @Nullable	com.netflix.eureka.registry.rule.LeaseExistsRule	apply(com.netflix.appinfo.InstanceInfo,com.netflix.eureka.lease.Lease,boolean)	1444	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/rule/LeaseExistsRule.java	null	null	null	null	null	null	existingLease---parameter---com.netflix.eureka.registry.rule.LeaseExistsRule---true---existingLease---1444
RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	com.netflix.eureka.EurekaServerContextHolder	getInstance()	1355	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/EurekaServerContextHolder.java	METHOD	com.netflix.eureka.EurekaServerContextHolder	getInstance()	null	null	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/EurekaServerContextHolder.java
DEREFERENCE_NULLABLE	dereferenced expression e.getMessage() is @Nullable	com.netflix.eureka.cluster.ReplicationTaskProcessor	maybeReadTimeOut(java.lang.Throwable)	8307	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/cluster/ReplicationTaskProcessor.java	null	null	null	null	null	null	e.getMessage()---method---java.lang.Throwable---false---getMessage()---8307
DEREFERENCE_NULLABLE	dereferenced expression isHeathly is @Nullable	com.netflix.eureka.util.StatusInfo	isHealthy()	3148	/home/nima/Developer/nullness-benchmarks/eureka/eureka-core/src/main/java/com/netflix/eureka/util/StatusInfo.java	null	null	null	null	null	null	isHeathly---field---com.netflix.eureka.util.StatusInfo---true---isHeathly---3148
